iter	Passed	Remaining
0	61	61752
1	62	31082
2	62	20832
3	63	15736
4	63	12671
5	64	10687
6	65	9226
7	65	8152
8	66	7291
9	66	6606
10	67	6046
11	67	5575
12	68	5176
13	68	4834
14	69	4536
15	69	4276
16	69	4047
17	70	3844
18	70	3664
19	71	3502
20	71	3350
21	72	3213
22	72	3090
23	73	2978
24	73	2872
25	74	2776
26	77	2791
27	77	2704
28	78	2623
29	78	2550
30	79	2478
31	87	2648
32	88	2579
33	88	2516
34	89	2455
35	89	2397
36	89	2341
37	90	2289
38	90	2239
39	91	2192
40	91	2146
41	92	2103
42	92	2061
43	93	2021
44	93	1984
45	93	1948
46	94	1914
47	94	1882
48	95	1851
49	95	1821
50	96	1793
51	96	1767
52	97	1742
53	98	1717
54	98	1693
55	99	1669
56	99	1645
57	99	1621
58	100	1598
59	100	1577
60	101	1556
61	101	1536
62	102	1518
63	102	1500
64	103	1482
65	103	1465
66	104	1449
67	104	1428
68	104	1413
69	105	1397
70	105	1382
71	106	1369
72	106	1354
73	107	1340
74	107	1327
75	108	1316
76	108	1303
77	109	1294
78	109	1282
79	110	1271
80	113	1289
81	114	1279
82	114	1268
83	115	1256
84	115	1242
85	115	1231
86	116	1217
87	116	1207
88	116	1197
89	117	1187
90	117	1177
91	118	1172
92	119	1165
93	120	1156
94	120	1147
95	120	1138
96	121	1130
97	121	1121
98	122	1112
99	122	1104
100	123	1096
101	123	1086
102	124	1085
103	125	1080
104	125	1072
105	126	1065
106	127	1060
107	127	1053
108	128	1047
109	128	1040
110	129	1033
111	129	1030
112	130	1024
113	130	1017
114	131	1013
115	132	1006
116	132	999
117	132	993
118	133	987
119	133	981
120	134	976
121	135	972
122	135	965
123	135	959
124	136	954
125	136	948
126	137	943
127	137	936
128	138	932
129	138	928
130	139	923
131	139	918
132	140	913
133	140	908
134	141	904
135	141	899
136	142	896
137	142	890
138	143	887
139	143	883
140	144	878
141	144	874
142	145	871
143	145	867
144	146	863
145	146	859
146	147	856
147	148	854
148	149	852
149	149	848
150	150	844
151	150	841
152	151	837
153	151	834
154	152	832
155	153	829
156	153	825
157	154	822
158	154	818
159	155	815
160	155	811
161	156	807
162	156	804
163	157	802
164	157	799
165	158	796
166	159	795
167	160	795
168	161	792
169	161	788
170	162	786
171	162	782
172	163	779
173	163	776
174	164	774
175	164	770
176	165	767
177	166	767
178	166	763
179	167	761
180	167	756
181	167	754
182	168	751
183	168	748
184	169	745
185	169	743
186	170	739
187	170	738
188	171	735
189	171	732
190	172	728
191	172	725
192	172	723
193	173	720
194	173	718
195	174	715
196	174	712
197	175	709
198	175	706
199	176	704
200	176	701
201	176	698
202	177	696
203	177	693
204	178	691
205	178	688
206	179	686
207	179	683
208	180	681
209	180	679
210	181	677
211	181	674
212	182	672
213	182	670
214	183	668
215	183	666
216	183	663
217	184	661
218	184	658
219	185	656
