iter	Passed	Remaining
0	57	57594
1	57	28936
2	58	19375
3	58	14596
4	58	11722
5	59	9809
6	59	8445
7	59	7419
8	60	6622
9	60	5986
10	60	5464
11	61	5035
12	61	4674
13	61	4365
14	62	4092
15	62	3856
16	63	3644
17	63	3454
18	63	3286
19	64	3144
20	64	3010
21	64	2886
22	65	2774
23	65	2667
24	65	2569
25	66	2478
26	66	2395
27	66	2316
28	66	2242
29	67	2173
30	67	2109
31	67	2049
32	68	1995
33	68	1942
34	68	1893
35	68	1846
36	69	1802
37	69	1760
38	69	1721
39	70	1683
40	70	1647
41	70	1612
42	70	1579
43	71	1547
44	71	1517
45	71	1488
46	72	1461
47	72	1434
48	72	1410
49	72	1385
50	73	1362
51	73	1340
52	73	1318
53	74	1297
54	74	1276
55	74	1256
56	74	1237
57	75	1219
58	75	1201
59	75	1184
60	75	1169
61	76	1154
62	76	1140
63	76	1125
64	77	1111
65	77	1099
66	78	1086
67	78	1073
68	78	1061
69	79	1051
70	79	1039
71	79	1027
72	79	1015
73	80	1004
74	80	992
75	80	981
76	80	970
77	81	960
78	81	950
79	81	940
80	82	930
81	82	921
82	82	910
83	82	901
84	82	893
85	83	884
86	83	876
87	83	867
88	83	859
89	84	851
90	84	843
91	84	836
92	85	829
93	85	822
94	85	815
95	85	807
96	85	800
97	86	793
98	86	787
99	86	780
100	86	774
101	87	768
102	87	763
103	87	757
104	88	751
105	88	746
106	88	740
107	89	735
108	89	729
109	89	724
110	89	719
111	90	714
112	90	709
113	90	705
114	91	700
115	91	696
116	91	692
117	92	688
118	92	684
119	92	680
120	93	675
121	93	670
122	93	667
123	94	665
124	94	661
125	94	656
126	94	652
127	95	648
128	95	645
129	95	641
130	96	637
131	96	633
132	96	629
133	96	626
134	97	622
135	97	618
136	97	615
137	97	611
138	98	608
139	98	604
140	98	601
141	98	596
142	99	593
143	99	589
144	99	586
145	99	583
146	100	580
147	100	577
148	100	574
149	100	571
150	101	567
151	101	565
152	101	562
153	101	559
154	102	556
155	102	554
156	102	552
157	103	549
158	103	547
159	103	544
160	103	541
161	104	538
162	104	536
163	104	534
164	105	531
165	105	530
166	105	528
167	106	525
168	106	523
169	106	520
170	107	519
171	107	518
172	108	517
173	108	515
174	108	513
175	109	510
176	109	508
177	109	507
178	110	505
179	110	503
180	110	501
181	111	499
182	111	497
183	111	495
184	112	493
185	112	491
186	112	489
187	112	487
188	113	485
189	113	483
190	113	481
191	113	479
192	114	477
193	114	475
194	114	473
195	115	471
196	115	470
197	115	468
198	115	466
199	116	464
200	116	463
201	116	461
202	116	459
203	117	457
204	117	455
205	117	454
206	118	452
207	118	450
208	118	449
209	118	447
210	119	445
211	119	443
212	119	442
213	119	440
214	120	438
215	120	437
216	120	435
217	121	434
218	121	432
219	121	431
220	121	429
221	122	428
222	122	427
223	123	426
224	123	424
225	123	423
226	123	421
227	124	421
228	124	419
229	125	418
230	125	417
231	125	415
232	125	414
233	126	413
234	126	411
235	126	410
236	127	409
237	127	407
238	127	406
239	127	405
240	128	403
241	128	402
242	128	400
243	128	399
244	129	398
245	129	397
246	130	397
247	130	396
248	130	394
249	131	393
250	131	392
251	131	390
252	131	389
253	132	388
254	132	387
255	132	386
256	133	385
257	133	383
258	133	382
259	134	381
260	134	380
261	134	379
262	134	377
263	135	377
264	135	376
265	135	375
266	136	373
267	136	372
268	136	371
269	137	370
270	137	369
271	137	369
272	138	368
273	138	367
274	138	366
275	139	365
276	139	364
277	140	363
278	140	362
279	140	361
280	140	360
281	141	359
282	141	358
283	141	356
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	146	340
300	146	339
301	146	338
302	146	337
303	147	336
304	147	335
305	147	334
306	147	333
307	148	332
308	148	331
309	148	331
310	148	330
311	149	329
312	149	328
313	149	327
314	150	326
315	150	325
316	150	324
317	150	323
318	151	322
319	151	321
320	151	320
321	151	320
322	152	319
323	152	318
324	152	317
325	153	317
326	153	316
327	153	315
328	154	315
329	154	314
330	155	313
331	155	312
332	155	311
333	156	311
334	156	310
335	156	309
336	156	308
337	157	307
338	157	306
339	157	306
340	157	305
341	158	304
342	158	303
343	158	302
344	158	301
345	159	301
346	159	300
347	159	299
348	160	298
349	160	297
350	160	296
351	160	296
352	161	295
353	161	294
354	161	293
355	161	292
356	162	291
357	162	291
358	162	290
359	162	289
360	163	288
361	163	288
362	163	287
363	164	286
364	164	286
365	164	285
366	165	284
367	165	284
368	165	283
369	165	282
370	166	281
371	166	281
372	166	280
373	167	279
374	167	279
375	167	278
376	168	277
377	168	276
378	168	276
379	168	275
380	169	275
381	169	274
382	170	273
383	170	273
384	170	272
385	170	271
386	171	271
387	171	270
388	171	269
389	171	268
390	172	268
391	172	267
392	172	266
393	173	266
394	173	265
395	173	265
396	174	264
397	174	263
398	174	263
399	175	262
400	175	261
401	175	261
402	175	260
403	176	259
404	176	259
405	176	258
406	176	257
407	177	257
408	177	256
409	177	255
410	178	255
411	178	254
412	178	254
413	179	253
414	179	252
415	179	252
416	179	251
417	180	250
418	180	250
419	180	249
420	181	249
421	181	248
422	181	247
423	182	247
424	182	246
425	182	246
426	183	245
427	183	245
428	183	244
429	183	243
430	184	243
431	184	242
432	184	242
433	185	241
434	185	241
435	185	240
436	186	239
437	186	239
438	186	238
439	186	237
440	187	237
441	187	236
442	187	236
443	188	235
444	188	234
445	188	234
446	188	233
447	189	233
448	189	232
449	189	231
450	190	231
451	190	230
452	190	230
453	190	229
454	191	228
455	191	228
456	191	227
457	191	227
458	192	226
459	192	225
460	192	225
461	193	224
462	193	224
463	193	223
464	193	222
465	193	222
466	194	221
467	194	221
468	194	220
469	195	219
470	195	219
471	195	218
472	195	218
473	196	217
474	196	216
475	196	216
476	196	215
477	197	215
478	197	214
479	197	214
480	198	213
481	198	213
482	198	212
483	198	211
484	199	211
485	199	211
486	199	210
487	200	210
488	200	209
489	200	209
490	201	208
491	201	208
492	201	207
493	201	206
494	202	206
495	202	205
496	202	205
497	203	204
498	203	204
499	203	203
500	203	203
501	204	202
502	204	201
503	204	201
504	204	200
505	205	200
506	205	199
507	205	199
508	205	198
509	206	197
510	206	197
511	206	196
512	206	196
513	207	195
514	207	195
515	207	194
516	207	194
517	208	193
518	208	192
519	208	192
520	208	192
521	209	191
522	209	190
523	209	190
524	209	189
525	210	189
526	210	188
527	210	188
528	211	187
529	211	187
530	211	186
531	211	186
532	212	185
533	212	185
534	212	184
535	213	184
536	213	183
537	213	183
538	213	182
539	214	182
540	214	182
541	214	181
542	215	181
543	215	180
544	215	180
545	215	179
546	216	179
547	216	178
548	216	178
549	217	177
550	217	177
551	217	176
552	217	176
553	218	175
554	218	175
555	218	174
556	219	174
557	219	173
558	219	173
559	219	172
560	220	172
561	220	171
562	220	171
563	220	170
564	221	170
565	221	169
566	221	169
567	222	168
568	222	168
569	222	167
570	222	167
571	223	167
572	223	166
573	223	166
574	224	165
575	224	165
576	224	164
577	225	164
578	225	163
579	225	163
580	225	162
581	226	162
582	226	161
583	226	161
584	226	161
585	227	160
586	227	160
587	227	159
588	228	159
589	228	158
590	228	158
591	229	157
592	229	157
593	229	156
594	229	156
595	230	156
596	230	155
597	230	155
598	231	154
599	231	154
600	231	153
601	231	153
602	232	152
603	232	152
604	232	151
605	232	151
606	233	150
607	233	150
608	233	150
609	233	149
610	234	149
611	234	148
612	234	148
613	235	147
614	235	147
615	235	146
616	235	146
617	235	145
618	236	145
619	236	144
620	236	144
621	236	143
622	237	143
623	237	142
624	237	142
625	237	142
626	237	141
627	238	141
628	238	140
629	238	140
630	239	139
631	239	139
632	239	138
633	239	138
634	240	138
635	240	137
636	240	137
637	240	136
638	241	136
639	241	135
640	241	135
641	242	135
642	242	134
643	242	134
644	243	133
645	243	133
646	243	132
647	243	132
648	244	132
649	244	131
650	244	131
651	245	130
652	245	130
653	245	129
654	245	129
655	246	129
656	246	128
657	246	128
658	247	127
659	247	127
660	247	126
661	247	126
662	248	126
663	248	125
664	248	125
665	249	124
666	249	124
667	249	124
668	249	123
669	250	123
670	250	122
671	250	122
672	250	121
673	251	121
674	251	121
675	251	120
676	252	120
677	252	119
678	252	119
679	252	118
680	253	118
681	253	118
682	253	117
683	253	117
684	254	116
685	254	116
686	254	116
687	254	115
688	255	115
689	255	114
690	255	114
691	256	113
692	256	113
693	256	113
694	256	112
695	257	112
696	257	111
697	257	111
698	257	111
699	258	110
700	258	110
701	258	109
702	258	109
703	259	109
704	259	108
705	259	108
706	260	107
707	260	107
708	260	107
709	260	106
710	261	106
711	261	105
712	261	105
713	261	104
714	262	104
715	262	104
716	262	103
717	262	103
718	263	102
719	263	102
720	263	102
721	264	101
722	264	101
723	264	100
724	264	100
725	265	100
726	265	99
727	265	99
728	265	98
729	266	98
730	266	98
731	266	97
732	267	97
733	267	96
734	267	96
735	267	96
736	268	95
737	268	95
738	268	94
739	268	94
740	269	94
741	269	93
742	269	93
743	270	92
744	270	92
745	270	92
746	270	91
747	271	91
748	271	90
749	271	90
750	271	90
751	272	89
752	272	89
753	272	88
754	272	88
755	273	88
756	273	87
757	273	87
758	273	86
759	274	86
760	274	86
761	274	85
762	275	85
763	275	85
764	275	84
765	275	84
766	276	83
767	276	83
768	276	83
769	277	82
770	277	82
771	277	81
772	277	81
773	278	81
774	278	80
775	278	80
776	278	80
777	279	79
778	279	79
779	279	78
780	279	78
781	280	78
782	280	77
783	280	77
784	280	76
785	281	76
786	281	76
787	281	75
788	282	75
789	282	75
790	282	74
791	283	74
792	283	73
793	283	73
794	283	73
795	284	72
796	284	72
797	284	72
798	284	71
799	285	71
800	285	70
801	285	70
802	285	70
803	286	69
804	286	69
805	286	69
806	286	68
807	287	68
808	287	67
809	287	67
810	287	67
811	288	66
812	288	66
813	288	65
814	289	65
815	289	65
816	289	64
817	289	64
818	290	64
819	290	63
820	290	63
821	291	63
822	291	62
823	291	62
824	292	61
825	292	61
826	292	61
827	292	60
828	293	60
829	293	60
830	293	59
831	294	59
832	294	59
833	294	58
834	295	58
835	295	57
836	295	57
837	295	57
838	296	56
839	296	56
840	296	56
841	296	55
842	297	55
843	297	54
844	297	54
845	297	54
846	298	53
847	298	53
848	298	53
849	298	52
850	299	52
851	299	52
852	299	51
853	300	51
854	300	50
855	300	50
856	300	50
857	301	49
858	301	49
859	301	49
860	301	48
861	302	48
862	302	48
